datetime,open,high,low,close,crossdown,crossup,sellcrossup,sellcrossdown,swinglow,swinghigh,swinglow10,swinghigh10,swinghigh6,swinglow6,NQbull,NQbear,reversal_top,reversal_top2,reversal_top3,reversal_top4,bullcross,bearcross,pop,drop,long_close,short_close,T3 Bull Signal,T3 Bear Signal
2022-12-21 23:32:00,273.74,273.74,273.74,273.74
2022-12-21 23:33:00,273.73,273.73,273.715,273.73
2022-12-21 23:34:00,273.77,273.81,273.76,273.76
2022-12-21 23:35:00,273.76,273.8,273.45,273.45
2022-12-21 23:36:00,273.8,273.82,273.8,273.82
2022-12-21 23:37:00,273.82,273.82,273.78,273.8
2022-12-21 23:38:00,273.9,273.94,273.88,273.93
2022-12-21 23:39:00,273.93,274.0,273.91,274.0
2022-12-21 23:40:00,273.97,274.05,273.97,274.05
2022-12-21 23:41:00,274.05,274.05,273.97,273.97
2022-12-21 23:42:00,273.99,273.99,273.99,273.99
2022-12-21 23:43:00,273.96,273.96,273.95,273.96
2022-12-21 23:44:00,273.97,273.97,273.97,273.97
2022-12-21 23:45:00,273.9,273.9,273.89,273.89
2022-12-21 23:46:00,273.89,273.89,273.88,273.88
2022-12-21 23:47:00,273.91,273.91,273.91,273.91
2022-12-21 23:48:00,273.855,273.9,273.855,273.89
2022-12-21 23:49:00,273.94,273.94,273.91,273.91
2022-12-21 23:50:00,273.875,273.885,273.85,273.86
2022-12-21 23:52:00,273.89,273.89,273.89,273.89
2022-12-21 23:54:00,273.85,273.85,273.8,273.8
2022-12-21 23:55:00,273.83,273.85,273.81,273.81
2022-12-21 23:56:00,273.85,273.9,273.85,273.9
2022-12-21 23:57:00,273.9,273.92,273.89,273.89
2022-12-21 23:59:00,273.85,273.85,273.825,273.85
2022-12-22 00:00:00,273.8,273.81,273.76,273.77
2023-01-07 00:59:00,268.5,268.5,268.46,268.5
2023-01-07 00:59:00,268.5,268.5,268.46,268.5
2023-01-09 12:09:00,269.93,269.93,269.88,269.88
2023-01-09 14:12:00,270.38,270.38,270.26,270.26
2023-01-09 16:26:00,275.045,275.12,275.0,275.06
2023-01-09 16:27:00,275.07,275.145,275.055,275.1
2023-01-09 16:28:00,275.075,275.0999,275.02,275.02
2023-01-09 16:29:00,275.0103,275.15,274.98,275.03
2023-01-09 16:30:00,275.03,275.19,275.03,275.09
2023-01-09 16:32:00,275.02,275.03,274.88,274.89
2023-01-09 16:33:00,274.89,274.95,274.79,274.84
2023-01-09 17:20:00,274.55,274.71,274.54,274.6
2023-01-09 17:21:00,274.62,274.7,274.56,274.645
2023-01-09 17:22:00,274.66,274.77,274.66,274.71
